submission,field,field_name,value,license,name,type,description,doi,
5,1,Paper Type,Full,,,,,,
5,2,Student,Yes,,,,,,
5,3,Publication Resources,Yes,,,,,,
5,4,Code Availability,,,,,,,
5,5,Data Availability,,,,,,,
5,6,Ontology Availability,,,,,,,
11,1,Paper Type,Full,,,,,,
11,2,Student,Yes,,,,,,
11,3,Publication Resources,Yes,,,,,,
11,4,Code Availability,https://github.com/YaserJaradeh/exBERT,MIT,exBERT,SoftwareSourceCode,exBERT is a transformer-based model able to perform triple classification; predicate prediction; and head entity prediction
11,5,Data Availability,https://github.com/YaserJaradeh/exBERT/tree/main/data,MIT,,Dataset,,,
11,6,Ontology Availability,,,,,,,
15,1,Paper Type,Full,,,,,,
15,2,Student,,,,,,,
15,3,Publication Resources,Yes,,,,,,
15,4,Code Availability,https://github.com/stlab-istc-cnr/conceptual-components/,Apache 2.0,Conceptual Components,SoftwareSourceCode,This repository contains code; experiment and evaluation results; and resources related to the extraction of conceptual components and observed ontology design patterns from corpora of ontologies.
15,5,Data Availability,https://github.com/stlab-istc-cnr/conceptual-components/,CC-BY 4.0,CH and Conference ontologies corpus,Dataset,,,
15,6,Ontology Availability,,,,,,,
22,1,Paper Type,Full,,,,,,
22,2,Student,,,,,,,
22,3,Publication Resources,Yes,,,,,,
22,4,Code Availability,http://www.dfki.uni-kl.de/~mschroeder/demo/spread2rml/#code,Apache 2.0,,SoftwareSourceCode,Spread2RML; FnO functions; matching and evaluation source code in Java
22,5,Data Availability,http://www.dfki.uni-kl.de/~mschroeder/demo/spread2rml/#code,Apache 2.0,,Dataset,Ground truth datasets: Data Sprout and data.gov,,
22,6,Ontology Availability,,,,,,,
25,1,Paper Type,Full,,,,,,
25,2,Student,,,,,,,
25,3,Publication Resources,Yes,,,,,,
25,4,Code Availability,https://github.com/albertmeronyo/ConceptDrift,,Concept Drift on the Web,SoftwareSourceCode,Experiments for concept drift in the Semantic Web ,,
25,5,Data Availability,https://github.com/albertmeronyo/ConceptDrift-data,,ConceptDrift-data,Dataset,Datasets for the concept drift experiments ,,
25,6,Ontology Availability,,,,,,,
29,1,Paper Type,Full,,,,,,
29,2,Student,,,,,,,
29,3,Publication Resources,Yes,,,,,,
29,4,Code Availability,http://github.com/fair-workflows/FAIRWorkflowsExtension,BSD 3-Clause License,FAIRWorkflowsExtension:,SoftwareSourceCode,A Jupyterlab extension for searching for Nanopublished computational steps., https://doi.org/10.5281/zenodo.5032301,
29,4_1,Code Availability,https://github.com/fair-workflows/fairworkflows,Apache License 2.0,fairworkflows,SoftwareSourceCode,A python library for constructing; modifying and publishing scientific workflows described using semantic technologies. ,https://doi.org/10.5281/zenodo.5031844
29,4_2,Code Availability,https://github.com/fair-workflows/nanopub,Apache License 2.0.,Nanopub,SoftwareSourceCode,A python library for searching; publishing and modifying nanopublications,https://doi.org/10.5281/zenodo.5031807
29,5,Data Availability,https://doi.org/10.5281/zenodo.5045675,CC-BY 4.0,,Dataset,Questionnaire used in FAIR Workbench user evaluation,https://doi.org/10.5281/zenodo.5045675,
29,5_1,Data Availability,https://doi.org/10.5281/zenodo.5045448,CC-BY 4.0,,Dataset,Evaluation notebook and files for FAIR Workbench user evaluation.,https://doi.org/10.5281/zenodo.5045448,
29,6,Ontology Availability,,,,,,,
31,1,Paper Type,Full,,,,,,
31,2,Student,Yes,,,,,,
31,3,Publication Resources,Yes,,,,,,
31,4,Code Availability,https://github.com/lcadorel/GeoInformationRealEstate,,,SoftwareSourceCode,Named Entity Recognition and Relationship Extraction from housing advertisements ,,
31,5,Data Availability,https://github.com/lcadorel/GeoInformationRealEstate,,GeoInformationRealEstate,Dataset,Named Entity Recognition and Relationship Extraction from housing advertisements ,,
31,6,Ontology Availability,,,,,,,
32,1,Paper Type,Full,,,,,,
32,2,Student,Yes,,,,,,
32,3,Publication Resources,Yes,,,,,,
32,4,Code Availability,https://github.com/stijnschout3n/thewindinoursails,MIT,The wind in our sails,,,,
32,5,Data Availability,https://doi.org/10.5281/zenodo.5509820 ,CC BY-NC-SA 4.0,VOCOPV,Dataset,,https://doi.org/10.5281/zenodo.5509820 ,
32,5_1,Data Availability,https://doi.org/10.5281/zenodo.5507139,CC BY-NC-SA 4.0,DAS,Dataset,,https://doi.org/10.5281/zenodo.5507139,
32,5_2,Data Availability,https://doi.org/10.5281/zenodo.5507126,CC BY-NC-SA 4.0,BGB,Dataset,,https://doi.org/10.5281/zenodo.5507126,
32,5_3,Data Availability,https://doi.org/10.5281/zenodo.5509814,CC BY-NC-SA 4.0,Places,Dataset,,https://doi.org/10.5281/zenodo.5509814,
32,6,Ontology Availability,https://github.com/stijnschout3n/thewindinoursails/blob/main/maritimehistorycontinued_V1.rdf,MIT,,Ontology,,,
37,1,Paper Type,Full,,,,,,
37,2,Student,,,,,,,
37,3,Publication Resources,No,,,,,,
37,4,Code Availability,,,,,,,
37,5,Data Availability,,,,,,,
37,6,Ontology Availability,,,,,,,
42,1,Paper Type,Demo,,,,,,
42,2,Student,Yes,,,,,,
42,3,Publication Resources,Yes,,,,,,
42,4,Code Availability,https://w3id.org/kgcp/MEL-TNNT,MIT,,SoftwareSourceCode,,,
42,5,Data Availability,,,,,,,
42,6,Ontology Availability,,,,,,,
43,1,Paper Type,Full,,,,,,
43,2,Student,Yes,,,,,,
43,3,Publication Resources,Yes,,,,,,
43,4,Code Availability,https://github.com/albamoralest/CES-HR,,CES-HR,SoftwareSourceCode,Condition Evolution Statement - Reasoning on Health Condition Evolution,,
43,5,Data Availability,https://github.com/albamoralest/CES-HR,,CES-HR,Dataset,,,
43,6,Ontology Availability,,,,,,,
46,1,Paper Type,Full,,,,,,
46,2,Student,Yes,,,,,,
46,3,Publication Resources,Yes,,,,,,
46,4,Code Availability,,,,,,,
46,5,Data Availability,https://www.w3id.org/simulation/data,CC BY 4.0,,Dataset,HyperReal Knowledge Graph,,
46,6,Ontology Availability,https://www.w3id.org/simulation/ontology/,CC BY 4.0,Simulation ontology,Ontology,,,
47,1,Paper Type,Full,,,,,,
47,2,Student,Yes,,,,,,
47,3,Publication Resources,Yes,,,,,,
47,4,Code Availability,https://github.com/cultural-ai/ConConCor/,Apache 2.0,ConConCor,SoftwareSourceCode,,,
47,5,Data Availability,https://github.com/cultural-ai/ConConCor/Dataset,CC BY 2.0,ConConCor dataset,Dataset,,,
47,6,Ontology Availability,N/A,,,,,,
48,1,Paper Type,Full,,,,,,
48,2,Student,Yes,,,,,,
48,3,Publication Resources,Yes,,,,,,
48,4,Code Availability,https://github.com/LucasSimonne/kcap2021,,,SoftwareSourceCode,,,
48,5,Data Availability,https://github.com/LucasSimonne/kcap2021,,,Dataset,Vitamin dataset,,
48,6,Ontology Availability,https://github.com/LucasSimonne/kcap2021,,,Ontology,,,
49,1,Paper Type,Full,,,,,,
49,2,Student,Yes,,,,,,
49,3,Publication Resources,Yes,,,,,,
49,4,Code Availability,,,,,,,
49,5,Data Availability,,,,,,,
49,6,Ontology Availability,https://github.com/kaviyachandran/situational_awareness_example/blob/master/owl/situation_awareness_example.owl,,Cutting bread ontology,Ontology,,,
50,1,Paper Type,Full,,,,,,
50,2,Student,Yes,,,,,,
50,3,Publication Resources,Yes,,,,,,
50,4,Code Availability,https://github.com/dwslab/melt,MIT,MELT matching framework,SoftwareSourceCode,,,
50,5,Data Availability,http://oaei.ontologymatching.org/2020/,,OAEI tracks,Dataset,,,
50,6,Ontology Availability,,,,,,,
51,1,Paper Type,Full,,,,,,
51,2,Student,Yes,,,,,,
51,3,Publication Resources,Yes,,,,,,
51,4,Code Availability,https://github.com/halliwelln/multiple-explanations/,,,SoftwareSourceCode,User Scored Evaluation of Non-Unique Explanations for Relational Graph Convolutional Network Link Prediction on Knowledge Graphs,,
51,5,Data Availability,https://github.com/halliwelln/multiple-explanations/,,,Dataset,User Scored Evaluation of Non-Unique Explanations for Relational Graph Convolutional Network Link Prediction on Knowledge Graphs,,
51,6,Ontology Availability,,,,,,,
54,1,Paper Type,Short,,,,,,
54,2,Student,,,,,,,
54,3,Publication Resources,Yes,,,,,,
54,4,Code Availability,,,,,,,
54,5,Data Availability,https://gitlab.com/jleblay/tokei/-/tree/master/data,,,Dataset,,,
54,5_1,Data Availability,https://github.com/malllabiisc/HyTE,Apache 2.0,HyTE,Dataset,EMNLP 2018: HyTE: Hyperplane-based Temporally aware Knowledge Graph Embedding ,,
54,6,Ontology Availability,,,,,,,
60,1,Paper Type,Short,,,,,,
60,2,Student,,,,,,,
60,3,Publication Resources,Yes,,,,,,
60,4,Code Availability,,,,,,,
60,5,Data Availability,,,,,,,
60,6,Ontology Availability,https://fast.ilabt.imec.be/ns/oslo-steps#,CC BY 4.0,OSLO-STEPS vocabulary,Ontology,,,
61,1,Paper Type,Full,,,,,,
61,2,Student,Yes,,,,,,
